name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_adventure,genre_mystery,genre_horror,genre_fantasy,director_top,runtime
Kaanoon Ki Awaaz,,127 min,"Action, Crime",3.8,10.0,P. Chandrasekhar,R. Kumar,Balwant Dullat,Shatrughan Sinha,0,1,0,0,1,0,0,0,0,0,0,0,other,
Kaante,,150 min,"Action, Crime, Drama",6.5,,Sanjay Gupta,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,1,1,0,0,1,0,0,0,0,0,0,0,other,
Kaaranama,,138 min,Drama,4.8,17.0,Ranjeet,Vinod Khanna,Kimi Katkar,Farha Naaz,1,0,0,0,0,0,0,0,0,0,0,0,other,
Kaash,,140 min,Drama,6.3,197.0,Mahesh Bhatt,Jackie Shroff,Dimple Kapadia,Master Makrand,1,0,0,0,0,0,0,0,0,0,0,0,Mahesh Bhatt,
Kaash,,106 min,Drama,5.0,20.0,Ishaan Nair,Nidhi Sunil,Kavya Trehan,Varun Mitra,1,0,0,0,0,0,0,0,0,0,0,0,other,
Kaash Mere Hote,,,Thriller,5.7,21.0,B.H. Tharun Kumar,Rajesh Khanna,Sneha Ullal,Kumar Saahil,0,0,0,0,0,1,0,0,0,0,0,0,other,
Kaash... Hamara Dil Pagal Na Hota,,149 min,Comedy,3.6,7.0,Mangal Anand,Sunil Singh,Chetan Aneja,Mithun Purandare,0,0,0,1,0,0,0,0,0,0,0,0,other,
Kaashi in Search of Ganga,,125 min,Thriller,5.4,259.0,Dhiraj Kumar,Prince Adhikari,Aishwarya Devan,Kranti Prakash Jha,0,0,0,0,0,1,0,0,0,0,0,0,other,
Kab Tak Chup Rahungi,,,Drama,5.8,9.0,T. Prakash Rao,Amala Akkineni,Vikas Anand,Darshan,1,0,0,0,0,0,0,0,0,0,0,0,other,
Kab? Kyoon? Aur Kahan?,,136 min,"Action, Mystery, Romance",6.8,117.0,Arjun Hingorani,Dharmendra,Babita Kapoor,Pran,0,1,1,0,0,0,0,0,0,1,0,0,other,
Kabaad- The Coin,,132 min,Drama,6.6,76.0,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj,1,0,0,0,0,0,0,0,0,0,0,0,other,
